"ZCTA5CE10","AFFGEOID10","GEOID10","ALAND10","AWATER10","X","Y"
"89311","8600000US89311","89311","550144620","257573",-114.1943122700,38.9871069170
"55812","8600000US55812","55812","4549991","1725746",-92.0739465610,46.8116060830
"07024","8600000US07024","07024","6555834","915817",-73.9712288180,40.8507974700
"88434","8600000US88434","88434","969744946","166593",-103.3024120500,35.1859751450
"87577","8600000US87577","87577","1004739879","323172",-105.9812458100,36.6724669150
"28782","8600000US28782","28782","128446642","272889",-82.1504123050,35.2358693220
"11569","8600000US11569","11569","1010517","0",-73.5822811430,40.5897515930
"08203","8600000US08203","08203","17062233","17452293",-74.3801173150,39.4127683420
"58801","8600000US58801","58801","-2147483648","91480616",-103.7532554800,48.2131071940
"56560","8600000US56560","56560","409966221","18637",-96.7356011860,46.8422666410
"73932","8600000US73932","73932","1439628095","609883",-100.5024861500,36.7161143970
"14207","8600000US14207","14207","10107677","49345",-78.8977884450,42.9517267120
"44425","8600000US44425","44425","79940585","370945",-80.5738007050,41.1705082320
"28540","8600000US28540","28540","267332048","1442573",-77.5056315800,34.7563270380
"37083","8600000US37083","37083","380053269","106557",-86.0023882790,36.5439627430
"37851","8600000US37851","37851","867360","561",-83.9061307280,36.5823202350
"38551","8600000US38551","38551","240393031","35482796",-85.4854723520,36.5579638030
"15316","8600000US15316","15316","1022411","729",-80.2536770250,39.7246119860
"24244","8600000US24244","24244","441285028","1300369",-82.7892242690,36.7156809080
"22209","8600000US22209","22209","1554207","0",-77.0753772340,38.8947244220
"24620","8600000US24620","24620","198831900","257391",-82.0188631380,37.4299233440
"15612","8600000US15612","15612","6494183","0",-79.5998073970,40.1373665810
"98250","8600000US98250","98250","160989029","117999968",-123.0915024800,48.5581498420
"99163","8600000US99163","99163","535953545","1059311",-117.2148487900,46.7289242760
"26155","8600000US26155","26155","306083729","5901993",-80.7654201640,39.6321855070
"26711","8600000US26711","26711","152083223","671063",-78.4767868370,39.2784832940
"53820","8600000US53820","53820","232961040","38016071",-90.7110955670,42.6955661150
"15325","8600000US15325","15325","626186","0",-79.9633846510,39.9493675370
"15482","8600000US15482","15482","2990721","44428",-79.7661603230,40.0609037660
"82070","8600000US82070","82070","-2147483648","32918779",-105.8320444200,41.2053829320
"36432","8600000US36432","36432","369588663","2147813",-87.0276186880,31.2937506810
"35173","8600000US35173","35173","164719400","2663653",-86.5642259380,33.6504479280
"35776","8600000US35776","35776","234072461","1041222",-86.2382951720,34.6614345500
"36744","8600000US36744","36744","593208366","10139516",-87.5987460280,32.6974791440
"35042","8600000US35042","35042","389481524","2226108",-87.1148020020,32.9545613260
"99566","8600000US99566","99566","-2147483648","570501990",-142.7899555400,61.2809661790
"99612","8600000US99612","99612","30275631","4895302",-162.2878085300,55.0632942620
"99647","8600000US99647","99647","564984742","27664306",-154.0757191700,59.8680492870
"99557","8600000US99557","99557","-2147483648","320699227",-156.0186276100,61.4411162420
"85546","8600000US85546","85546","1747282857","9390252",-109.5840726500,32.7113406750
"85611","8600000US85611","85611","797776897","673591",-110.5120452800,31.6614421760
"85708","8600000US85708","85708","3723404","0",-110.8664524100,32.1819140940
"71901","8600000US71901","71901","267587743","3963677",-92.9715940240,34.5269773450
"72083","8600000US72083","72083","14762440","85709",-92.0136016720,34.5939716110
"72007","8600000US72007","72007","113547584","446372",-91.9818482000,35.0023841600
"72042","8600000US72042","72042","613535414","19207336",-91.3160852810,34.2676944780
"71971","8600000US71971","71971","171548112","213240",-94.0372640850,34.3038859540
"96015","8600000US96015","96015","626722856","22209459",-120.9172566200,41.5037750760
"95482","8600000US95482","95482","805168070","8305462",-123.2429110900,39.1603267880
"90006","8600000US90006","90006","4972252","0",-118.2941811800,34.0480061240
"95247","8600000US95247","95247","107963421","81774",-120.4531993400,38.1380590420
"95458","8600000US95458","95458","126891460","61132",-122.7474211600,39.1505188270
"95133","8600000US95133","95133","8275841","0",-121.8608379600,37.3715864390
"93636","8600000US93636","93636","506386115","2977026",-119.8731061800,36.9823099340
"95563","8600000US95563","95563","155965056","168594",-123.4984640100,40.8762528880
"95554","8600000US95554","95554","130064713","479580",-123.7945376800,40.2841326570
"96010","8600000US96010","96010","1041435904","8361",-123.2462194300,40.9194265860
"96075","8600000US96075","96075","178154961","185877",-121.8489092000,40.3385162170
"81428","8600000US81428","81428","568019041","1163483",-107.5952446200,38.9580725950
"81645","8600000US81645","81645","438646557","3579338",-106.4170182100,39.4507183180
"81069","8600000US81069","81069","708111975","576449",-104.8969843500,37.8971045980
"80827","8600000US80827","80827","625907811","12582454",-105.4681618700,39.0601591240
"80540","8600000US80540","80540","409956564","1172541",-105.3833411500,40.2419096900
"81231","8600000US81231","81231","162539","0",-106.9196489400,38.5499926080
"06758","8600000US06758","06758","6814408","83802",-73.2420632390,41.6754754870
"06119","8600000US06119","06119","5285092","0",-72.7272081990,41.7633983290
"06856","8600000US06856","06856","9568","0",-73.4209231910,41.1111621200
"20535","8600000US20535","20535","12919","0",-77.0248514890,38.8944681060
"32564","8600000US32564","32564","236175911","1936412",-86.7824079520,30.7260696810
"33073","8600000US33073","33073","22004898","315742",-80.1828043090,26.2985037650
"31563","8600000US31563","31563","288475451","2368544",-82.1826696130,31.7455259900
"31721","8600000US31721","31721","552021262","9251142",-84.3086726440,31.5105845880
"39823","8600000US39823","39823","904892690","7958910",-84.9415728660,31.3320953470
"30461","8600000US30461","30461","417128959","11492081",-81.7204751410,32.5090177010
